Countrycode;AirQualityStation;AirQualityStationEoICode;AirPollutant;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.58;µg/m3;2013-01-03 06:00:00 +01:00;2013-01-03 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.06;µg/m3;2013-01-03 07:00:00 +01:00;2013-01-03 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.6;µg/m3;2013-01-03 08:00:00 +01:00;2013-01-03 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.75;µg/m3;2013-01-03 09:00:00 +01:00;2013-01-03 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;38.66;µg/m3;2013-01-03 10:00:00 +01:00;2013-01-03 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;30.91;µg/m3;2013-01-03 13:00:00 +01:00;2013-01-03 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;30.51;µg/m3;2013-01-03 14:00:00 +01:00;2013-01-03 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;35.19;µg/m3;2013-01-03 22:00:00 +01:00;2013-01-03 23:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;40.96;µg/m3;2013-01-03 23:00:00 +01:00;2013-01-04 00:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.64;µg/m3;2013-01-04 01:00:00 +01:00;2013-01-04 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.11;µg/m3;2013-01-04 02:00:00 +01:00;2013-01-04 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.01;µg/m3;2013-01-04 03:00:00 +01:00;2013-01-04 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.14;µg/m3;2013-01-04 04:00:00 +01:00;2013-01-04 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;49.96;µg/m3;2013-01-04 05:00:00 +01:00;2013-01-04 06:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;38.51;µg/m3;2013-01-04 07:00:00 +01:00;2013-01-04 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;40.05;µg/m3;2013-01-04 08:00:00 +01:00;2013-01-04 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;36.78;µg/m3;2013-01-04 09:00:00 +01:00;2013-01-04 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;43.44;µg/m3;2013-01-04 10:00:00 +01:00;2013-01-04 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;43.91;µg/m3;2013-01-04 12:00:00 +01:00;2013-01-04 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;36.87;µg/m3;2013-01-04 13:00:00 +01:00;2013-01-04 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;37.48;µg/m3;2013-01-04 14:00:00 +01:00;2013-01-04 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;35.64;µg/m3;2013-01-04 18:00:00 +01:00;2013-01-04 19:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;39.71;µg/m3;2013-01-04 19:00:00 +01:00;2013-01-04 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.46;µg/m3;2013-01-04 21:00:00 +01:00;2013-01-04 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;44.04;µg/m3;2013-01-04 23:00:00 +01:00;2013-01-05 00:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.49;µg/m3;2013-01-05 00:00:00 +01:00;2013-01-05 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.6;µg/m3;2013-01-05 01:00:00 +01:00;2013-01-05 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.33;µg/m3;2013-01-05 02:00:00 +01:00;2013-01-05 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.77;µg/m3;2013-01-05 03:00:00 +01:00;2013-01-05 04:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;51.05;µg/m3;2013-01-05 04:00:00 +01:00;2013-01-05 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.69;µg/m3;2013-01-05 06:00:00 +01:00;2013-01-05 07:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;53.91;µg/m3;2013-01-05 07:00:00 +01:00;2013-01-05 08:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;54;µg/m3;2013-01-05 08:00:00 +01:00;2013-01-05 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;59.68;µg/m3;2013-01-05 09:00:00 +01:00;2013-01-05 10:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;65.11;µg/m3;2013-01-05 10:00:00 +01:00;2013-01-05 11:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;63.11;µg/m3;2013-01-05 11:00:00 +01:00;2013-01-05 12:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;66.64;µg/m3;2013-01-05 12:00:00 +01:00;2013-01-05 13:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;65.39;µg/m3;2013-01-05 13:00:00 +01:00;2013-01-05 14:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;64.69;µg/m3;2013-01-05 14:00:00 +01:00;2013-01-05 15:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;60.4;µg/m3;2013-01-05 16:00:00 +01:00;2013-01-05 17:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;55.54;µg/m3;2013-01-05 17:00:00 +01:00;2013-01-05 18:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;56.49;µg/m3;2013-01-05 18:00:00 +01:00;2013-01-05 19:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;54.94;µg/m3;2013-01-05 19:00:00 +01:00;2013-01-05 20:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;50.61;µg/m3;2013-01-05 21:00:00 +01:00;2013-01-05 22:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.31;µg/m3;2013-01-05 22:00:00 +01:00;2013-01-05 23:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;48.6;µg/m3;2013-01-06 00:00:00 +01:00;2013-01-06 01:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;46.57;µg/m3;2013-01-06 01:00:00 +01:00;2013-01-06 02:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;45.67;µg/m3;2013-01-06 02:00:00 +01:00;2013-01-06 03:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;47.48;µg/m3;2013-01-06 04:00:00 +01:00;2013-01-06 05:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;41.04;µg/m3;2013-01-06 08:00:00 +01:00;2013-01-06 09:00:00 +01:00;1;1
DE;STA.DE_DEBB007;DEBB007;O3;hour;33.87;µg/m3;2013-01-06 10:00:00 +01:00;2013-01-06 11:00:00 +01:00;1;1
