N	MeanD	Volume
472	1.002586843	2994838
473	0.573414102	5918847
474	0.566820315	5943786
475	0.393748415	10891189
476	0.722774327	4539795
477	0.949387007	2715120
478	0.864052473	3453585
479	0.839943263	3494847
480	0.773739927	4669296
481	0.749725189	4832387
482	0.727475273	4674538
483	0.638058018	5611673
484	0.800930859	3560739
485	0.777054056	3460559
486	0.917233555	3709205
487	0.790696798	4105142
488	0.626134271	6385202
489	0.745552217	4427367
490	0.792187928	3495704
491	1.009464311	2723381
492	0.82058115	3726259
493	1.070453703	2925598
494	1.056480215	2883791
495	0.762456047	4891482
496	1.135622401	3026795
497	0.984699112	2761206
498	0.719339149	4266802
499	0.843859913	3222039
500	0.976506468	2644654
501	0.935219847	3136160
502	0.848678946	2904796
503	0.94660185	2737836
504	1.062304708	2273154
505	0.802784943	6534845
506	1.412722046	1917951
507	1.647571119	909939
508	1.341199668	2027772
509	0.922566744	2421619
510	0.65278796	4015199
511	0.658037964	4430023
512	1.011272512	3045668
513	0.719379947	3326832
514	0.768002018	3902212
515	0.861867279	3164822
516	0.813311387	3651159
517	0.684136344	3738577
518	0.535871477	5554212
519	0.608331741	4240162
520	0.326970198	12194390
521	0.221011569	15943637
522	0.191252235	19095635
523	0.243102444	12828698
524	0.299537836	12623345
525	0.416349388	6228221
526	0.580480396	4574144
527	0.597232811	4373823
528	0.710249419	3816967
529	0.461104205	6056435
530	0.533628222	4972649
531	0.700597126	3522947
532	0.58919623	4430736
533	0.462580846	5291636
534	0.610254987	4129929
535	0.812606917	2874401
536	0.621825234	5269547
537	0.377917433	9306658
538	0.646389459	4224190
539	0.672014477	3978917
540	0.676119711	3896895
541	1.107429306	2810397
542	0.587696111	5059079
543	0.570569155	4732713
544	0.515273648	5847230
545	0.556351072	4779573
546	0.821192126	3436349
547	0.723576374	4238784
548	0.745635245	3693407
549	0.681546594	4482083
550	0.519123588	5159768
551	0.652666238	3860630
552	0.658646335	3879666
553	0.779039171	2980569
554	0.738150417	3737815
555	0.466554684	6063472
556	0.658041327	4598283
557	0.42008692	7383361
558	0.536464694	5272596
559	0.540701317	5497856
560	0.44675185	7640526
561	0.356043123	7621927
562	0.622414318	4867149
563	0.475985471	6548207
564	0.482473115	8413555
565	0.391708597	8050494
566	0.560048001	4651455
567	0.534096406	5139982
568	0.558746649	5072189
569	0.78525134	2912788
570	0.524756211	5411178
571	0.536848181	4822481
572	0.656434949	3631262
573	0.914264472	2562694
574	0.874110511	2569254
575	0.834088065	3166089
576	1.146926699	2467323
577	0.576416279	5639307
578	0.704391271	3504361
579	1.094154896	2319791
580	0.896831409	3064861
581	1.014610415	2406801
582	1.194891891	1965690
583	0.88187381	3488987
584	0.868275326	2620338
585	1.082515541	1991941
586	0.778553947	3267718
587	0.653944509	4063012
588	0.778470886	3425126
589	1.032748547	1857190
590	1.04713167	2859601
591	1.041526756	2373632
592	0.670961927	3513962
593	1.783836426	1173091
594	0.920275521	2765384
595	1.138978773	2023204
596	0.963054673	2446132
597	0.956209698	2429870
598	2.64717229	787687
599	1.111362695	1978916
600	1.334409089	1804267
601	1.27067734	2051301
602	1.125214966	2874083
603	1.087904519	2585924
604	0.862214698	3342801
605	0.559819823	4763358
606	0.634380519	4469808
607	0.843774703	2874562
608	2.425068095	1071400
609	0.810447339	2950756
610	0.801970958	3456293
611	1.196425029	1802199
612	1.211843831	1987579
613	1.206779364	2081646
614	1.44554676	1350652
615	1.080815453	2161736
616	1.011021429	2249619
617	0.779199396	3406460
618	0.859264168	2863633
619	0.77496115	3261930
620	0.788821134	3546562
621	0.705093307	4425173
622	0.499107326	6703427
623	0.883567178	3307270
624	0.961642315	2901928
625	1.045552615	2276615
626	0.687367293	4625443
627	0.695146239	5794581
628	0.967940095	3056590
629	0.656049731	3479643
630	0.830391869	2990085
631	0.682576516	3358604
632	0.662197795	3975357
633	0.74008531	3166533
634	0.632257206	4077873
635	0.841096335	3193367
636	0.649388133	4239857
637	1.487950324	1609850
638	0.986914308	2376885
639	0.836082304	3643556
640	1.095377716	2465752
641	0.843657172	2916315
642	0.637406053	4292968
643	1.077075508	2303710
644	0.39615687	8824127
645	0.393097179	8053560
646	0.447769002	7769342
647	0.630185453	4670222
648	0.903344893	3157350
649	0.964823803	2474940
650	0.651072467	4363870
651	0.70028144	3412511
652	0.394140457	8409175
653	1.045326325	2143283
654	0.748766413	3277363
655	0.989849442	2201967
656	0.842102482	2070970
657	1.155640831	1736695
658	1.30721372	1382993
659	0.795582495	3323234
660	0.766980366	2959323
661	0.589831504	5131025
662	0.768981415	2967040
663	0.894462278	2601994
664	1.175923221	1883243
665	0.88855092	2941703
666	1.037505293	2262254
667	1.10781241	2578837
668	1.48656106	1499501
669	0.769380303	3223620
670	0.886384626	2812394
671	0.912636994	2364658
672	0.856694094	2862552
673	0.981574599	2819033
674	0.712500513	3499642
675	0.918319765	2687750
676	0.601497662	4693692
677	0.82286725	2893808
678	0.864367525	3036565
679	0.579254949	4382838
680	0.808115981	2729474
681	0.738449374	2859182
682	0.498185925	4806540
683	0.469974698	5412824
684	0.51549723	4868900
685	0.595592318	3861655
686	0.710712626	3267968
687	0.811906055	2675892
688	0.267705636	10563253
689	0.254044907	10887949
690	0.338555894	7195273
691	0.2386267	13431970
692	0.238839411	14259248
693	0.563953041	4162469
694	0.653958702	3297048
695	0.750805948	3333339
696	0.652745199	3919657
697	0.924467704	2429541
698	0.470360537	5423338
699	0.568718311	5068530
700	0.764550811	3241501
701	0.669298702	3581306
702	0.764375463	3381911
703	0.445403461	5634127
704	0.408927288	6736183
705	0.319024276	8662941
706	0.529036094	4959082
707	0.25804123	9997586
708	0.408169024	6075685
709	0.392048065	5772290
710	0.575322998	4361114
711	0.441711357	5613722
712	0.409350831	6329798
713	0.543381176	3986386
714	0.653713386	3245411
715	0.523449484	4156545
716	0.481767877	4956639
717	0.34159683	6903460
718	0.345514162	7181172
719	0.28757841	11513155
720	0.353294871	8459356
721	0.396970167	6433467
722	0.348569368	8171468
723	0.535694514	4936707
724	0.428792235	6244773
725	0.423236596	5308302
726	0.474029117	5332724
727	0.606002743	3865388
728	0.503304953	4406660
729	0.687280224	3765706
730	0.407149269	5834799
731	0.512606337	4415274
732	0.685288155	3438154
733	0.837380952	2922781
734	0.671275613	3620809
735	0.753626514	2852714
736	0.579031575	4469061
737	0.527415976	5020667
738	0.577203232	4692538
739	0.536359223	4851567
740	0.860064789	2705946
741	0.914604862	3463020
742	0.388494121	6237491
743	0.775314642	2943068
744	0.720783974	2941945
745	0.71592591	2743429
746	0.467528673	4515809
747	0.664488256	3161422
748	0.451204563	5019186
749	0.555362886	3740400
750	0.735239472	2492958
751	0.766802283	2489488
752	0.625990801	3510343
753	0.867280064	2206498
754	0.651515636	3570625
755	0.71507576	2903574
756	0.831906445	2207371
757	0.780895913	4326541
758	0.678299334	4076048
759	0.89224013	1972201
760	1.070940928	1596232
