date; pm25; pm10; o3; no2; so2; co;AQI
31.05.2014;57;24;29;33;3;3;57
01.06.2014;69;22;28;48;5;4;69
02.06.2014;66;21;20;43;6;5;66
03.06.2014;68;20;23;47;7;4;68
04.06.2014;60;11;22;16;3;3;60
05.06.2014;34;20;34;48;5;4;48
06.06.2014;56;23;36;40;5;4;56
07.06.2014;71;15;36;41;4;4;71
08.06.2014;57;20;34;46;5;5;57
09.06.2014;68;16;30;44;6;5;68
10.06.2014;61;18;28;38;4;3;61
11.06.2014;55;22;33;42;3;3;55
12.06.2014;61;24;36;41;4;3;61
13.06.2014;62;17;28;29;4;3;62
14.06.2014;54;10;26;21;2;2;54
15.06.2014;32;13;22;31;4;2;32
16.06.2014;39;18;29;28;4;2;39
17.06.2014;44;12;17;34;3;2;44
18.06.2014;38;21;11;33;3;4;38
19.06.2014;62;16;25;38;3;3;62
20.06.2014;46;17;33;35;3;3;46
21.06.2014;52;20;28;38;3;4;52
22.06.2014;56;19;25;46;4;4;56
23.06.2014;77;22;28;38;3;3;77
24.06.2014;66;12;28;38;2;3;66
25.06.2014;36;18;28;44;3;4;44
26.06.2014;48;25;24;48;5;5;48
27.06.2014;67;16;16;33;5;4;67
28.06.2014;45;11;24;21;3;2;45
29.06.2014;32;18;27;44;4;4;44
30.06.2014;49;16;29;48;4;3;49
01.07.2014;49;22;28;53;6;5;53
02.07.2014;60;22;36;64;6;5;64
03.07.2014;64;21;35;54;6;5;64
04.07.2014;62;7;18;8;4;4;62
05.07.2014;31;18;24;40;4;4;40
06.07.2014;55;14;18;36;4;4;55
07.07.2014;46;16;16;40;4;3;46
08.07.2014;58;19;28;30;2;2;58
09.07.2014;58;17;21;35;2;2;58
10.07.2014;52;17;17;41;2;3;52
11.07.2014;58;22;38;35;3;3;58
12.07.2014;66;15;23;26;4;3;66
13.07.2014;50;15;28;36;3;3;50
14.07.2014;46;17;27;36;4;3;46
15.07.2014;52;24;29;48;4;4;52
16.07.2014;63;21;27;44;5;3;63
17.07.2014;53;30;45;57;4;3;57
18.07.2014;82;23;42;44;4;3;82
19.07.2014;68;23;32;24;3;3;68
20.07.2014;69;20;26;24;2;3;69
21.07.2014;64;17;22;15;2;2;64
22.07.2014;55;20;34;23;2;2;55
23.07.2014;59;20;35;12;3;2;59
24.07.2014;58;20;27;26;4;3;58
25.07.2014;62;23;43;20;4;3;62
26.07.2014;68;17;31;21;5;2;68
27.07.2014;55;12;25;17;5;2;55
28.07.2014;44;12;37;15;7;2;44
29.07.2014;42;17;34;21;8;9;42
30.07.2014;54;23;28;40;7;4;54
31.07.2014;67;24;30;45;5;6;67
01.08.2014;72;19;28;32;4;5;72
02.08.2014;61;15;31;32;3;4;61
03.08.2014;49;19;28;38;5;5;49
04.08.2014;57;20;28;41;5;5;57
05.08.2014;64;19;29;38;5;5;64
06.08.2014;60;17;28;38;4;4;60
07.08.2014;58;25;24;43;5;5;58
08.08.2014;76;21;24;32;5;5;76
09.08.2014;64; ; ; ; ; ;64
10.08.2014; ;19;21;42;6;6;42
11.08.2014;58;20;28;43;6;5;58
12.08.2014;56;14;19;27;7;3;56
13.08.2014;42;16;20;38;10;5;42
14.08.2014;52;16;19;34;12;2;52
15.08.2014;50;14;29;33;14;2;50
16.08.2014;47;12;28;58;4;6;58
17.08.2014;42;12;20;31;6;2;42
18.08.2014;42;10;23;27;2;2;42
19.08.2014;35;14;22;29;3;2;35
20.08.2014;41;19;23;47;5;4;47
21.08.2014;60;13;25;33;3;2;60
22.08.2014;40;12;27;28;2;2;40
23.08.2014;38;16;29;39;3;3;39
24.08.2014;53;29;19;33;4;4;53
25.08.2014;85;17;31;28;2;2;85
26.08.2014;50;23;21;36;1;2;50
27.08.2014;61;15;23;23; ;2;61
28.08.2014;47;17;18;13; ;2;47
29.08.2014;48;10;18;10;1; ;48
30.08.2014;35;13;21;20;1;5;35
31.08.2014;45;23;5;43;3;7;45
01.09.2014;71;20;17;31;1;4;71
02.09.2014;59;31;26;38;1;4;59
03.09.2014;84;33;17;37;1;4;84
04.09.2014;86;46;26;50;1;4;86
05.09.2014;114;51;22;43;2;5;114
06.09.2014;136;38;25;36;3;4;136
07.09.2014;102;31;25;44;3;5;102
08.09.2014;79;31;19;51;1;6;79
09.09.2014;79;25;15;43;2;7;79
10.09.2014;66;37;13;40; ;6;66
11.09.2014;93;29;21;43;1;6;93
12.09.2014;72;23;27;30; ;5;72
13.09.2014;63;22;29;23; ;5;63
14.09.2014;63;26;19;41;1;5;63
15.09.2014;66;48;22;40;2;6;66
16.09.2014;120;48;29;30;1;6;120
17.09.2014;126;50;29;38;2;8;126
18.09.2014;130;47;14;42;3;9;130
19.09.2014;118;41;20;33;1;7;118
20.09.2014;97;18;26;32;3;6;97
21.09.2014;53;35;17;35;20;6;53
22.09.2014;92;42;15;25;14; ;92
23.09.2014;119;29;20;28;4;6;119
24.09.2014;82;33;18;48;4;6;82
25.09.2014;67;29;16;46;4;6;67
26.09.2014;66;26;11;38;2;4;66
27.09.2014;64;33;18;36;2;5;64
28.09.2014;88;47;17;49;4;7;88
29.09.2014;112;41;26;51;3;6;112
30.09.2014;92;34;17;36;3;5;92
01.10.2014;69;32;10;36;3;5;69
02.10.2014;72;36;21;47;4;6;72
03.10.2014;83;24;19;27;1;3;83
04.10.2014;61;21;19;33;2;4;61
05.10.2014;56;22;16;35;2;4;56
06.10.2014;58;26;22;45;4;6;58
07.10.2014;63;25;19;39;4;5;63
08.10.2014;63;25;22;30;2;2;63
09.10.2014;57;22;14;33;2;3;57
10.10.2014;53;21;23;39;3;4;53
11.10.2014;57;19;23;26;2;3;57
12.10.2014;59;16;26;26;3;4;59
13.10.2014;44;17;6;29;3;4;44
14.10.2014;46;30;7;31;2;3;46
15.10.2014;69;31;14;52;5;6;69
16.10.2014;67;31;18;41;4;4;67
17.10.2014;62;24;20;33;2;3;62
18.10.2014;56;23;22;32;2;3;56
19.10.2014;50;27;18;43;4;5;50
20.10.2014;62;15;21;25;2;1;62
21.10.2014;41;25;16;32;2;2;41
22.10.2014;56;28; ; ; ; ;56
23.10.2014;62;29; ; ; ; ;62
24.10.2014;68;24; ; ; ; ;68
25.10.2014;60;19; ; ; ; ;60
26.10.2014;49;24; ; ; ; ;49
27.10.2014;60;32; ; ; ; ;60
28.10.2014;75;22; ; ; ; ;75
29.10.2014;62;48; ; ; ; ;62
30.10.2014;113;41; ; ; ; ;113
31.10.2014;89;31; ; ; ; ;89
01.11.2014;64;24; ; ; ; ;64
02.11.2014;52;21; ; ; ; ;52
03.11.2014;56;24; ; ; ; ;56
04.11.2014;61;33; ; ; ; ;61
05.11.2014;80;44; ; ; ; ;80
06.11.2014;106;21; ; ; ; ;106
07.11.2014;56;24; ; ; ; ;56
08.11.2014;62;29; ; ; ; ;62
09.11.2014;80;23; ; ; ; ;80
10.11.2014;65;18; ; ; ; ;65
11.11.2014;54;15; ; ; ; ;54
12.11.2014;56;22; ; ; ; ;56
13.11.2014;53;27; ; ; ; ;53
14.11.2014;66;30; ; ; ; ;66
15.11.2014;76;25; ; ; ; ;76
16.11.2014;74;19; ; ; ; ;74
17.11.2014;61;23; ; ; ; ;61
18.11.2014;69;44; ; ; ; ;69
19.11.2014;115;46; ; ; ; ;115
20.11.2014;118;46; ; ; ; ;118
21.11.2014;114;40; ; ; ; ;114
22.11.2014;94;18; ; ; ; ;94
23.11.2014;58;39; ; ; ; ;58
24.11.2014;86;28; ; ; ; ;86
25.11.2014;75;31;4;36;5;8;75
26.11.2014;84;34;4;40;7;12;84
27.11.2014;89;36;1;29;5;10;89
28.11.2014;86;44;1;29;5;12;86
29.11.2014;105;39;9;29;3;10;105
30.11.2014;99;30;11;28;1;7;99
01.12.2014;81;24;20;43;1;7;81
02.12.2014;62;24;18;40; ;6;62
03.12.2014;53;25;16;34;2;6;53
04.12.2014;68;30;5;37;3;4;68
05.12.2014;76;32;4;48;3;4;76
06.12.2014;80;18;23;37;2;2;80
07.12.2014;49;19;14;38;2;2;49
08.12.2014;47;27;21;49;5;3;49
09.12.2014;60;27;30;52;5;2;60
10.12.2014;57;23;28;49;4;2;57
11.12.2014;53;20;32;47;5;2;53
12.12.2014;52;35;6;51;5;5;52
13.12.2014;77;25;25;37;4;3;77
14.12.2014;60;28;22;59;7;3;60
15.12.2014;64;34;5;54;7;5;64
16.12.2014;79;22;19;45;6;3;79
17.12.2014;56;18;24;42;5;2;56
18.12.2014;48;17;26;46;3;5;48
19.12.2014;43;17;22;43;3;6;43
20.12.2014;46;15;27;46;3;7;46
21.12.2014;43;18;27;45;4;6;45
22.12.2014;48;16;32;46;4;6;48
23.12.2014;42;11;30;32;2;5;42
24.12.2014;34;16;21;28;1;5;34
25.12.2014;44;18;19;38;2;7;44
26.12.2014;55;13;25;28;3;5;55
27.12.2014;43;27;21;29;1;5;43
28.12.2014;54; ; ; ; ; ;54
31.12.2014; ;28;24;19;3;3;28
01.01.2015;75;17;28;27;3;4;75
02.01.2015;42;16;21;37;2;4;42
03.01.2015;49;33;8;36;4;7;49
04.01.2015;88;29;14;42;5;7;88
05.01.2015;72;19;24;36;4;7;72
06.01.2015;51;22;24;39;4;7;51
07.01.2015;53;19;28;40;4;7;53
08.01.2015;50;20;31;39;5;8;50
09.01.2015;52;11;30;25;2;6;52
10.01.2015;32;19;26;39;3;8;39
11.01.2015;46;17;34;39;4;8;46
12.01.2015;45;18;29;47;6;10;47
13.01.2015;47;18;29;43;5;8;47
14.01.2015;44;20;34;45;6;9;45
15.01.2015;52;25;21;35;4;9;52
16.01.2015;53;13;12;24;3; ;53
17.01.2015;47;16;13;26;3;9;47
18.01.2015;55;26;10;41;4;6;55
19.01.2015;75;43;10;51;7;8;75
20.01.2015;100;32;14;43;5;8;100
21.01.2015;82;42;6;46;4;8;82
22.01.2015;114;54;8;53;9;12;114
23.01.2015;132;23;26;30;2;7;132
24.01.2015;50;36;15;44;5;11;50
25.01.2015;69;21;23;36;3;5;69
26.01.2015;49;17;10;39;4;8;49
27.01.2015;48;13;25;42;5;9;48
28.01.2015;28;10;23;42;7;6;42
29.01.2015;32;17;21;40;7;6;40
30.01.2015;44;14;21;36;6;5;44
