Date;Source;Site ID;POC;Daily Mean PM10 Concentration;UNITS;DAILY_AQI_VALUE;Site Name;DAILY_OBS_COUNT;PERCENT_COMPLETE;AQS_PARAMETER_CODE;AQS_PARAMETER_DESC;CBSA_CODE;CBSA_NAME;STATE_CODE;STATE;COUNTY_CODE;COUNTY;SITE_LATITUDE;SITE_LONGITUDE
12/17/2000;AQS;360050110;4;13;ug/m3 SC;12;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/18/2000;AQS;360050110;4;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/19/2000;AQS;360050110;4;35;ug/m3 SC;32;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/20/2000;AQS;360050110;1;19;ug/m3 SC;18;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/20/2000;AQS;360050110;4;19;ug/m3 SC;18;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/21/2000;AQS;360050110;4;26;ug/m3 SC;24;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/22/2000;AQS;360050110;4;21;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/23/2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/24/2000;AQS;360050110;4;23;ug/m3 SC;21;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/25/2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/26/2000;AQS;360050110;1;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/26/2000;AQS;360050110;4;11;ug/m3 SC;10;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/27/2000;AQS;360050110;4;15;ug/m3 SC;14;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/28/2000;AQS;360050110;4;14;ug/m3 SC;13;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/29/2000;AQS;360050110;4;21;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/30/2000;AQS;360050110;4;17;ug/m3 SC;16;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12/31/2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
