Entity;Year;RealGDP
Germany;1850;2276
Germany;1851;2244
Germany;1852;2273
Germany;1853;2252
Germany;1854;2300
Germany;1855;2263
Germany;1856;2440
Germany;1857;2541
Germany;1858;2509
Germany;1859;2495
Germany;1860;2613
Germany;1861;2523
Germany;1862;2622
Germany;1863;2788
Germany;1864;2837
Germany;1865;2821
Germany;1866;2823
Germany;1867;2815
Germany;1868;2966
Germany;1869;2965
Germany;1870;2931
Germany;1871;2896
Germany;1872;3078
Germany;1873;3186
Germany;1874;3386
Germany;1875;3366
Germany;1876;3301
Germany;1877;3241
Germany;1878;3352
Germany;1879;3234
Germany;1880;3174
Germany;1881;3228
Germany;1882;3258
Germany;1883;3416
Germany;1884;3472
Germany;1885;3532
Germany;1886;3524
Germany;1887;3626
Germany;1888;3732
Germany;1889;3792
Germany;1890;3870
Germany;1891;3821
Germany;1892;3936
Germany;1893;4089
Germany;1894;4141
Germany;1895;4281
Germany;1896;4368
Germany;1897;4423
Germany;1898;4540
Germany;1899;4631
Germany;1900;4758
Germany;1901;4576
Germany;1902;4611
Germany;1903;4795
Germany;1904;4914
Germany;1905;4948
Germany;1906;5024
Germany;1907;5172
Germany;1908;5187
Germany;1909;5220
Germany;1910;5337
Germany;1911;5432
Germany;1912;5617
Germany;1913;5815
Germany;1914;4876
Germany;1915;4621
Germany;1916;4678
Germany;1917;4705
Germany;1918;4755
Germany;1919;4122
Germany;1920;4457
Germany;1921;4906
Germany;1922;5310
Germany;1923;4383
Germany;1924;5099
Germany;1925;5630
Germany;1926;5746
Germany;1927;6282
Germany;1928;6519
Germany;1929;6457
Germany;1930;6333
Germany;1931;5821
Germany;1932;5359
Germany;1933;5668
Germany;1934;6150
Germany;1935;6567
Germany;1936;7095
Germany;1937;7468
Germany;1938;7960
Germany;1939;8617
Germany;1940;8612
Germany;1941;9103
Germany;1942;9149
Germany;1943;9389
Germany;1944;9698
Germany;1945;7195
Germany;1946;3534
Germany;1947;3883
Germany;1948;4517
Germany;1949;5231
Germany;1950;6186
Germany;1951;6704
Germany;1952;7257
Germany;1953;7818
Germany;1954;8364
Germany;1955;9240
Germany;1956;9846
Germany;1957;10348
Germany;1958;10739
Germany;1959;11440
Germany;1960;12282
Germany;1961;12675
Germany;1962;13106
Germany;1963;13367
Germany;1964;14062
Germany;1965;14642
Germany;1966;14964
Germany;1967;14979
Germany;1968;15723
Germany;1969;16641
Germany;1970;17277
Germany;1971;17657
Germany;1972;18301
Germany;1973;19074
Germany;1974;19228
Germany;1975;19193
Germany;1976;20218
Germany;1977;20837
Germany;1978;21447
Germany;1979;22305
Germany;1980;22497
Germany;1981;22553
Germany;1982;22380
Germany;1983;22840
Germany;1984;23564
Germany;1985;24133
Germany;1986;24657
Germany;1987;25027
Germany;1988;25759
Germany;1989;26393
Germany;1990;25391
Germany;1991;26769.96
Germany;1992;27385.06
Germany;1993;27250.7
Germany;1994;28140.06
Germany;1995;28868.95
Germany;1996;29349.98
Germany;1997;30186.94
Germany;1998;31129.58
Germany;1999;32087.6
Germany;2000;33367.28
Germany;2001;34260.29
Germany;2002;34590.93
Germany;2003;34716.44
Germany;2004;35528.71
Germany;2005;36205.58
Germany;2006;38014.14
Germany;2007;39752.21
Germany;2008;40715.43
Germany;2009;38962.94
Germany;2010;41109.58
Germany;2011;43189
Germany;2012;43320
Germany;2013;43413
Germany;2014;43922
Germany;2015;44293
Germany;2016;44689
Germany;2017;45619.78
Germany;2018;46177.62
