N	MeanD	Volume
1511	1.010632656	1878130
1512	1.007385726	1848327
1513	0.847543667	2318819
1514	0.790086541	2307977
1515	1.067339237	1833975
1516	0.941577552	2035230
1517	0.624368729	3921774
1518	0.867623646	2721049
1519	0.880145146	3980976
1520	0.823858869	2924096
1521	1.193899941	1859749
1522	1.196288786	1665264
1523	2.019883632	1127363
1524	2.799205107	691002
1525	3.84765688	447711
1526	1.870231593	1063833
1527	2.262269001	801758
1528	2.396914173	493561
1529	1.748553634	1272477
1530	1.04414834	2322144
1531	1.157608561	1843938
1532	0.905516363	2395562
1533	1.451855239	1738151
1534	0.864441986	2676082
1535	0.920795478	2587734
1536	1.141144107	1756033
1537	1.198544029	1838237
1538	0.775645391	2609664
1539	1.243516321	1716602
1540	0.75895083	3115703
1541	0.787765259	2458437
1542	0.911738936	2526821
1543	0.759363746	2947341
1544	0.988042307	1956027
1545	1.080714983	1963803
1546	1.3405741	1496390
1547	1.098071714	2599447
1548	0.999654134	2111263
1549	1.314246897	1664413
1550	1.072607807	2166752
1551	0.688714366	3094025
1552	1.113540037	2309082
1553	0.926173916	2496775
1554	1.250181643	1691444
1555	0.797587125	3003525
1556	0.858072251	2635070
1557	0.591398055	4026207
1558	0.928947865	2357207
1559	1.366933847	1402292
1560	1.166797196	1754258
1561	0.895121495	2204242
1562	0.994332079	2357658
1563	1.105313318	2349752
1564	1.523868257	1211316
1565	1.212963638	1516188
1566	0.823963838	2448079
1567	1.009513881	2437942
1568	1.064849618	1796457
1569	0.858492717	2620424
1570	1.013781684	1886591
1571	1.204867534	1663210
1572	1.09620454	2335211
1573	1.225208664	1536343
1574	1.040719669	1955475
1575	0.662942402	3404026
1576	0.978331318	2180545
1577	0.497200658	6404567
1578	0.924785352	2182449
1579	0.863838007	2145576
1580	0.665303584	3560119
1581	0.604008941	3880083
1582	1.004273928	2114703
1583	0.875888155	4154861
1584	0.963046829	2170292
1585	0.55495766	4973188
1586	0.999089855	2226468
1587	0.858223469	2447808
1588	0.982091878	2101009
1589	1.029342751	1891529
1590	1.220808898	1620456
1591	1.046568609	1921075
1592	0.940241987	2578071
1593	0.896316418	2569487
1594	0.769654649	2934505
1595	1.138056077	1776246
1596	0.863858401	2364910
1597	0.983985645	2365204
1598	0.986197473	2090381
1599	0.734525793	2803476
1600	0.664037713	3236301
1601	0.862255169	2248291
1602	0.78294661	2419886
1603	0.967802991	2055537
1604	0.978052293	2033583
1605	0.913324433	2496326
1606	0.857309068	2287413
1607	0.880034694	2228358
1608	1.159283814	1662975
1609	0.957734296	2032131
1610	0.818951016	3205594
1611	0.847672115	2327721
1612	1.226049311	1561395
1613	0.757152287	2405822
